Peer-to-Peer applications are decentralized or distributed.
bitcoin:        Bitcoin Core integration/staging tree
syncthing:        Open Source Continuous File Synchronization
go-ethereum:        Official Go implementation of the Ethereum protocol
webtorrent:        ⚡️ Streaming torrent client for the web
ipfs:        Peer-to-peer hypermedia protocol
ZeroNet:        ZeroNet - Decentralized websites using Bitcoin crypto and BitTorrent network
gun:        An open source cybersecurity protocol for syncing decentralized graph data.
peerjs:        Simple peer-to-peer with WebRTC
webtorrent-desktop:        ❤️ Streaming torrent app for Mac, Windows, and Linux
PeerTube:        ActivityPub-federated video streaming platform using P2P directly in your web browser
beaker:        An experimental peer-to-peer Web browser
Dragonfly:        Dragonfly is an intelligent P2P based image and file distribution system.
webrtc:        Pure Go implementation of the WebRTC API
js-ipfs:        IPFS implementation in JavaScript
lbry-sdk:        The LBRY SDK for building decentralized, censorship resistant, monetized, digital content apps.
orbit-db:        Peer-to-Peer Databases for the Decentralized Web
monero:        Monero: the secure, private, untraceable cryptocurrency
simple-peer:        📡 Simple WebRTC video, voice, and data channels
torrent:        Full-featured BitTorrent client package and utilities
kraken:        P2P Docker registry capable of distributing TBs of data in seconds
tribler:        Privacy enhanced BitTorrent client with P2P content discovery
qTox:        qTox is a chat, voice, video, and file transfer IM client using the encrypted peer-to-peer Tox protocol.
bisq:        A decentralized bitcoin exchange network
patchwork:        A decentralized messaging and sharing app built on top of Secure Scuttlebutt (SSB).
go-libp2p:        libp2p implementation in Go
golem:        Golem is creating a global market for computing power.
instant.io:        🚀 Streaming file transfer over WebTorrent (torrents on the web)
magnetissimo:        Web application that indexes all popular torrent sites, and saves it to the local database.
bitcoin-wallet:        Bitcoin Wallet app for your Android device. Standalone Bitcoin node, no centralized backend required.
bt:        BitTorrent library and client with DHT, magnet links, encryption and more
transgui:        🧲 A feature rich cross platform Transmission BitTorrent client. Faster and has more functionality than the built-in web GUI.
ipfs-desktop:        An unobtrusive and user-friendly desktop application for IPFS on Windows, Mac and Linux.
hublin:        DEPRECATED - An easy and free video conference service based on WebRTC
awesome-peer-to-peer:        A list of peer-to-peer resources.
roll-call:        📞 Free and reliable audio calls for everyone w/ browser p2p.
orbit:        A distributed, serverless, peer-to-peer chat application on IPFS
