Ajax is a technique for creating interactive web applications.
infinite-scroll:        📜 Automatically add next page
Blog:        关注基础知识，打造优质前端博客，公众号[前端工匠]的作者
form:        jQuery Form Plugin
unfetch:        🐕 Bare minimum fetch polyfill in 500 bytes.
elFinder:        📁 Open-source file manager for web, written in JavaScript using jQuery and jQuery UI
tabulator:        Interactive Tables and Data Grids for JavaScript
reqwest:        browser asynchronous http requests
learn-to-send-email-via-google-script-html-no-server:        ✉️ An Example of using an HTML form (e.g: "Contact Us" on a website) to send Email without a Backend Server (using a Google Script) perfect for static websites that need to collect data.
bliss:        Blissful JavaScript
wretch:        A tiny wrapper built around fetch with an intuitive syntax. 🍬
featherlight:        Featherlight is a very lightweight jQuery lightbox plugin. It's simple yet flexible and easy to use. Featherlight has minimal css and uses no inline styles, everything is name-spaced, it's completely customizable via config object and offers image, ajax and iframe support out of the box. Featherlights small footprint weights about 4kB – in total.
jquery-confirm:        A multipurpose plugin for alert, confirm & dialog, with extended features.
sente:        Realtime web comms for Clojure/Script
Enterprise:        🦄 The Enterprise™ programming language
Ajax-hook:        🔱 Intercepting browser's AJAX requests which made by XMLHttpRequest.
tracy:        😎 Tracy: the addictive tool to ease debugging PHP code for cool developers. Friendly design, logging, profiler, advanced features like debugging AJAX calls or CLI support. You will love it.
jeeplatform:        一款企业信息化开发基础平台，拟集成OA(办公自动化)、CMS(内容管理系统)等企业系统的通用业务功能 JeePlatform项目是一款以SpringBoot为核心框架，集ORM框架Mybatis，Web层框架SpringMVC和多种开源组件框架而成的一款通用基础平台，代码已经捐赠给开源中国社区
pjax:        Easily enable fast Ajax navigation on any website (using pushState + xhr)
uploader:        A lightweight and very configurable jQuery plugin for file uploading using ajax(a sync); includes support for queues, progress tracking and drag and drop.
render_async:        render_async lets you include pages asynchronously with AJAX
web-interview:        我是「齐丶先丶森」，公众号「前端面试秘籍」作者，收集整理全网面试题及面试技巧，旨在帮助前端工程师们找到一份好工作！
css-spinner:        small, elegant pure css spinner for ajax or loading animation
saber:        ⚔️ Saber, PHP异步协程HTTP客户端 | PHP Coroutine HTTP client - Swoole Humanization Library
eCommerce:        We're going to take you step-by-step to build a modern, fully open-source, eCommerce web application using Python, Django, Bootstrap, Javascript, and more.
infinite-ajax-scroll:        Turn your existing pagination into infinite scrolling pages with ease
rapid.js:        An ORM-like Interface and a Router For Your API Requests
ssm-BookAppointment:        优雅整合SSM框架：SpringMVC + Spring + MyBatis（用户登陆式图书预约系统）
opensource-socialnetwork:        Open Source Social Network (OSSN) is a social networking software written in PHP. It allows you to make a social networking website and helps your members build social relationships, with people who share similar professional or personal interests. It is available in 16 international languages.
RestClient:        🦄 Simple HTTP and REST client for Unity based on Promises, also supports Callbacks! 🎮
atomic:        A tiny, Promise-based vanilla JS Ajax/HTTP plugin with great browser support.
ajax-datatables-rails:        A wrapper around DataTable's ajax methods that allow synchronization with server-side pagination in a Rails app
