Angular is an open source web application platform.
free-programming-books-zh_CN:        📚 免费的计算机编程类中文书籍，欢迎投稿
angular:        One framework. Mobile & desktop.
storybook:        📓 UI component dev & test: React, Vue, Angular, React Native, Ember, Web Components & more!
ionic-framework:        A powerful cross-platform UI toolkit for building native-quality iOS, Android, and Progressive Web Apps with HTML, CSS, and JavaScript.
prettier:        Prettier is an opinionated code formatter.
33-js-concepts:        📜 33 concepts every JavaScript developer should know.
angular-cli:        CLI tool for Angular
sheetjs:        📗 SheetJS Community Edition -- Spreadsheet Data Toolkit
components:        Component infrastructure and Material Design components for Angular
NativeScript:        NativeScript empowers you to access native api's from JavaScript directly. Angular, Vue, Svelte, React and you name it compatible.
generator-jhipster:        JHipster is a development platform to quickly generate, develop, & deploy modern web applications & microservice architectures.
terminus:        A terminal for a more modern age
mean:        The MEAN stack uses Mongo, Express, Angular(6) and Node for simple and scalable fullstack js applications
coreui-free-bootstrap-admin-template:        CoreUI is free bootstrap admin template
codesandbox-client:        An online IDE for rapid web development
protractor:        E2E test framework for Angular apps
javascript-testing-best-practices:        📗🌐 🚢 Comprehensive and exhaustive JavaScript & Node.js testing best practices (July 2020)
OnsenUI:        Mobile app development framework and SDK using HTML5 and JavaScript. Create beautiful and performant cross-platform mobile apps. Based on Web Components, and provides bindings for Angular 1, 2, React and Vue.js.
text-mask:        Input mask for React, Angular, Ember, Vue, & plain JavaScript
ng-bootstrap:        Angular powered Bootstrap
PeerTube:        ActivityPub-federated video streaming platform using P2P directly in your web browser
awesome-angular:        📄 A curated list of awesome Angular resources
raw:        The missing link between spreadsheets and data visualization
ng-zorro-antd:        UI components lib based on Ant Design for Angular
rematch:        A Redux Framework
nebular:        💥 Customizable Angular UI Library based on Eva Design System 🌚✨Dark Mode
angularfire:        The official Angular library for Firebase.
must-watch-javascript:        A useful list of must-watch talks about JavaScript
generator-angular-fullstack:        Yeoman generator for an Angular app with an Express server
angularjs-styleguide:        AngularJS styleguide for teams
primeng:        The Most Complete Angular UI Component Library
ajenti:        Ajenti Core and stock plugins
platform:        Reactive libraries for Angular
clarity:        UX guidelines, HTML/CSS framework, and Angular components working together to craft exceptional experiences
angular-education:        A list of helpful material to develop using Angular
ui-grid:        UI Grid: an Angular Data Grid
redux-logger:        Logger for Redux
ngx-bootstrap:        Fast and reliable Bootstrap widgets in Angular (supports Ivy engine)
