A cryptocurrency is a digital currency that uses cryptography.
bitcoin:        Bitcoin Core integration/staging tree
ccxt:        A JavaScript / Python / PHP cryptocurrency trading API with support for more than 120 bitcoin/altcoin exchanges
blockchain:        A simple Blockchain in Python
grin:        Minimal implementation of the Mimblewimble protocol.
lbry-sdk:        The LBRY SDK for building decentralized, censorship resistant, monetized, digital content apps.
lnd:        Lightning Network Daemon ⚡️
monero:        Monero: the secure, private, untraceable cryptocurrency
tendermint:        ⟁ Tendermint Core (BFT Consensus) in Go
litecoin:        Litecoin source tree
cardano-sl:        Cryptographic currency implementing Ouroboros PoS protocol
EthList:        The Comprehensive Ethereum Reading List
tribeca:        A high frequency, market making cryptocurrency trading platform in node.js
freqtrade:        Free, open source crypto trading bot
xmrig:        RandomX, CryptoNight, AstroBWT and Argon2 CPU/GPU miner
awesome-coins:        ₿ A guide (for humans!) to cryto-currencies and their algos.
StockSharp:        Algorithmic trading and quantitative trading open source platform to develop trading robots (stock markets, forex, crypto, bitcoins and options).
BlockChain:        黑马程序员 120天全栈区块链开发 开源教程
CryptoList:        Curated collection of blockchain & cryptocurrency resources.
status-react:        a free (libre) open source, mobile OS for Ethereum
blockchain_go:        A simplified blockchain implementation in Golang
nano-node:        Nano is a cryptocurrency
alpha_vantage:        A python wrapper for Alpha Vantage API for financial data.
bcoin:        Javascript bitcoin library for node.js and browsers
Blockchain-stuff:        Blockchain and Crytocurrency Resources
bitcoin-on-nodejs:        《Node.js区块链开发》，注：新版代码已开源！请star支持哦-^-：
crypto-signal:        The #1 Automated Technical Analysis (TA) & Algo. Trading tool for Coinbase, Bittrex, Binance, and more! (Track over 500+ coins)
blockchain-tutorial:        🌾 A step-by-step blockchain tutorial in simplified Chinese
python-binance:        Binance Exchange API python implementation for automated trading
Krypto-trading-bot:        Self-hosted crypto trading bot (automated high frequency market making) in node.js, angular, typescript and c++
catalyst:        An Algorithmic Trading Library for Crypto-Assets in Python
cosmos-sdk:        ⛓️ A Framework for Building High Value Public Blockchains ✨
cryptocurrency-icons:        A set of icons for all the main cryptocurrencies and altcoins, in a range of styles and sizes.
gocryptotrader:        A cryptocurrency trading bot and framework supporting multiple exchanges written in Golang.
cointop:        The fastest and most interactive terminal based UI application for tracking cryptocurrencies
SimpleCoin:        Just a really simple, insecure and incomplete implementation of a blockchain for a cryptocurrency made in Python as educational material. In other words, a simple Bitcoin clone.
coinmon:        💰 The cryptocurrency price tool on CLI. 🖥
