Machine learning is a way of modeling and interpreting data that allows a piece of software to respond intelligently.
tensorflow:        An Open Source Machine Learning Framework for Everyone
keras:        Deep Learning for humans
scikit-learn:        scikit-learn: machine learning in Python
pytorch:        Tensors and Dynamic neural networks in Python with strong GPU acceleration
TensorFlow-Examples:        TensorFlow Tutorial and Examples for Beginners (support TF v1 & v2)
tesseract:        Tesseract Open Source OCR Engine (main repository)
face_recognition:        The world's simplest facial recognition api for Python and the command line
faceswap:        Deepfakes Software For All
caffe:        Caffe: a fast open framework for deep learning.
100-Days-Of-ML-Code:        100-Days-Of-ML-Code中文版
julia:        The Julia Language: A fresh approach to technical computing.
awesome-scalability:        The Patterns of Scalable, Reliable, and Performant Large-Scale Systems
basics:        📚 Learn ML with clean code, simplified math and illustrative visuals.
machine-learning-for-software-engineers:        A complete daily plan for studying to become a machine learning engineer.
awesome-deep-learning-papers:        The most cited deep learning papers
handson-ml:        A series of Jupyter notebooks that walk you through the fundamentals of Machine Learning and Deep Learning in python using Scikit-Learn and TensorFlow.
xgboost:        Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and more. Runs on single machine, Hadoop, Spark, Flink and DataFlow
data-science-ipython-notebooks:        Data science Python notebooks: Deep learning (TensorFlow, Theano, Caffe, Keras), scikit-learn, Kaggle, big data (Spark, Hadoop MapReduce, HDFS), matplotlib, pandas, NumPy, SciPy, Python essentials, AWS, and various command lines.
fastai:        The fastai deep learning library, plus lessons and tutorials
d2l-zh:        《动手学深度学习》：面向中文读者、能运行、可讨论。英文版即伯克利“深度学习导论”教材。
openpose:        OpenPose: Real-time multi-person keypoint detection library for body, face, hands, and foot estimation
Coursera-ML-AndrewNg-Notes:        吴恩达老师的机器学习课程个人笔记
CNTK:        Microsoft Cognitive Toolkit (CNTK), an open source deep-learning toolkit
spaCy:        💫 Industrial-strength Natural Language Processing (NLP) with Python and Cython
ML-From-Scratch:        Machine Learning From Scratch. Bare bones NumPy implementations of machine learning models and algorithms with a focus on accessibility. Aims to cover everything from linear regression to deep learning.
NLP-progress:        Repository to track the progress in Natural Language Processing (NLP), including the datasets and the current state-of-the-art for the most common NLP tasks.
awesome-deep-learning:        A curated list of awesome Deep Learning tutorials, projects and communities.
cs-video-courses:        List of Computer Science courses with video lectures.
WaveFunctionCollapse:        Bitmap & tilemap generation from a single example with the help of ideas from quantum mechanics.
pwc:        Papers with code. Sorted by stars. Updated weekly.
lectures:        Oxford Deep NLP 2017 course
DeepSpeech:        A TensorFlow implementation of Baidu's DeepSpeech architecture
homemade-machine-learning:        🤖 Python examples of popular machine learning algorithms with interactive Jupyter demos and math being explained
pumpkin-book:        《机器学习》（西瓜书）公式推导解析，在线阅读地址：https://datawhalechina.github.io/pumpkin-book
tfjs:        A WebGL accelerated JavaScript library for training and deploying ML models.
cheatsheets-ai:        Essential Cheat Sheets for deep learning and machine learning researchers https://medium.com/@kailashahirwar/essential-cheat-sheets-for-machine-learning-and-deep-learning-researchers-efb6a8ebd2e5
Qix:        Machine Learning、Deep Learning、PostgreSQL、Distributed System、Node.Js、Golang
awesome-datascience:        📝 An awesome Data Science repository to learn and apply for real world problems.
Virgilio:        Your new Mentor for Data Science E-Learning.
Screenshot-to-code:        A neural network that transforms a design mock-up into a static website.
ray:        A fast and simple framework for building and running distributed applications. Ray is packaged with RLlib, a scalable reinforcement learning library, and Tune, a scalable hyperparameter tuning library.
pytorch-handbook:        pytorch handbook是一本开源的书籍，目标是帮助那些希望和使用PyTorch进行深度学习开发和研究的朋友快速入门，其中包含的Pytorch教程全部通过测试保证可以成功运行
gun:        An open source cybersecurity protocol for syncing decentralized graph data.
Paddle:        PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice （『飞桨』核心框架，深度学习&机器学习高性能单机、分布式训练和跨平台部署）
learnopencv:        Learn OpenCV : C++ and Python Examples
google-research:        Google Research
LightGBM:        A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision tree algorithms, used for ranking, classification and many other machine learning tasks.
gensim:        Topic Modelling for Humans
python-machine-learning-book:        The "Python Machine Learning (1st edition)" book code repository and info resource
stanford-cs-229-machine-learning:        VIP cheatsheets for Stanford's CS 229 Machine Learning
awesome-nlp:        📖 A curated list of resources dedicated to Natural Language Processing (NLP)
Machine-Learning-Tutorials:        machine learning and deep learning tutorials, articles and other resources
Awesome-pytorch-list:        A comprehensive list of pytorch related content on github,such as different models,implementations,helper libraries,tutorials etc.
netron:        Visualizer for neural network, deep learning and machine learning models
tensor2tensor:        Library of deep learning models and datasets designed to make deep learning more accessible and accelerate ML research.
awesome-kubernetes:        A curated list for awesome kubernetes sources 🚢🎉
nsfw_data_scraper:        Collection of scripts to aggregate image data for the purposes of training an NSFW Image Classifier
ChatterBot:        ChatterBot is a machine learning, conversational dialog engine for creating chat bots
dive-into-machine-learning:        Dive into Machine Learning with Python Jupyter notebook and scikit-learn!
streamlit:        Streamlit — The fastest way to build data apps in Python
turicreate:        Turi Create simplifies the development of custom machine learning models.
stanford-tensorflow-tutorials:        This repository contains code examples for the Stanford's course: TensorFlow for Deep Learning Research.
horovod:        Distributed training framework for TensorFlow, Keras, PyTorch, and Apache MXNet.
imgaug:        Image augmentation for machine learning experiments.
shap:        A game theoretic approach to explain the output of any machine learning model.
tflearn:        Deep learning library featuring a higher-level API for TensorFlow.
caire:        Content aware image resize library
dlib:        A toolkit for making real world machine learning and data analysis applications in C++
rasa:        💬 Open source machine learning framework to automate text- and voice-based conversations: NLU, dialogue management, connect to Slack, Facebook, and more - Create chatbots and voice assistants
kubeflow:        Machine Learning Toolkit for Kubernetes
nltk:        NLTK Source
flair:        A very simple framework for state-of-the-art Natural Language Processing (NLP)
numpy-ml:        Machine learning, in numpy
botpress:        🤖 The Conversational Platform with built-in language understanding (NLU), beautiful graphical interface and Dialog Manager (DM). Easily create chatbots and AI-based virtual assistants.
the-gan-zoo:        A list of all named GANs!
onnx:        Open standard for machine learning interoperability
EffectiveTensorflow:        TensorFlow tutorials and best practices.
tfjs-core:        WebGL-accelerated ML // linear algebra // automatic differentiation for JavaScript.
caffe2:        Caffe2 is a lightweight, modular, and scalable deep learning framework.
sonnet:        TensorFlow-based neural network library
TensorFlow-Tutorials:        TensorFlow Tutorials with YouTube Videos
mit-deep-learning-book-pdf:        MIT Deep Learning Book in PDF format (complete and parts) by Ian Goodfellow, Yoshua Bengio and Aaron Courville
awesome-aws:        A curated list of awesome Amazon Web Services (AWS) libraries, open source repos, guides, blogs, and other resources. Featuring the Fiery Meter of AWSome.
tutorials:        机器学习相关教程
deep-learning-drizzle:        Drench yourself in Deep Learning, Reinforcement Learning, Machine Learning, Computer Vision, and NLP by learning from these exciting lectures!!
MLAlgorithms:        Minimal and clean examples of machine learning algorithms implementations
fashion-mnist:        A MNIST-like fashion product database. Benchmark 👉
bert-as-service:        Mapping a variable-length sentence to a fixed-length vector using BERT model
mediapipe:        MediaPipe is the simplest way for researchers and developers to build world-class ML solutions and applications for mobile, edge, cloud and the web.
