PostgreSQL is an open source database system.
sequelize:        An easy-to-use multi SQL dialect ORM for Node.js
metabase:        The simplest, fastest way to get business intelligence and analytics to everyone in your company 😋
typeorm:        ORM for TypeScript and JavaScript (ES7, ES6, ES5). Supports MySQL, PostgreSQL, MariaDB, SQLite, MS SQL Server, Oracle, SAP Hana, WebSQL databases. Works in NodeJS, Browser, Ionic, Cordova and Electron platforms.
redash:        Make Your Company Data Driven. Connect to any data source, easily visualize, dashboard and share your data.
postgrest:        REST API for any Postgres database
dbeaver:        Free universal database tool and SQL client
Qix:        Machine Learning、Deep Learning、PostgreSQL、Distributed System、Node.Js、Golang
knex:        A query builder for PostgreSQL, MySQL and SQLite3, designed to be flexible, portable, and fun to use.
shardingsphere:        Distributed database middleware
postgraphile:        Execute one command (or mount one Node.js middleware) and get an instant high-performance GraphQL API for your PostgreSQL database!
timescaledb:        An open-source time-series SQL database optimized for fast ingest and complex queries. Packaged as a PostgreSQL extension.
pgcli:        Postgres CLI with autocompletion and syntax highlighting
node-postgres:        PostgreSQL client for node.js.
cube.js:        📊 Cube.js - Open Source Analytics Framework
pgweb:        Cross-platform client for PostgreSQL databases
awesome-postgres:        A curated list of awesome PostgreSQL software, libraries, tools and resources, inspired by awesome-mysql
xorm:        Simple and Powerful ORM for Go, support mysql,postgres,tidb,sqlite3,mssql,oracle, Moved to https://gitea.com/xorm/xorm
bookshelf:        A simple Node.js ORM for PostgreSQL, MySQL and SQLite3 built on top of Knex.js
usql:        Universal command-line interface for SQL databases
diesel:        A safe, extensible ORM and Query Builder for Rust
NewsBlur:        NewsBlur is a personal news reader that brings people together to talk about the world. A new sound of an old instrument.
flyway:        Flyway by Redgate • Database Migrations Made Easy.
blog:        Everything about database,bussiness.(Most for PostgreSQL).
dev-setup:        macOS development environment setup: Easy-to-understand instructions with automated setup scripts for developer tools like Vim, Sublime Text, Bash, iTerm, Python data analysis, Spark, Hadoop MapReduce, AWS, Heroku, JavaScript web development, Android development, common data stores, and dev-based OS X defaults.
backup:        Easy full stack backup operations on UNIX-like systems.
falcon:        Free, open-source SQL client for Windows and Mac 🦅
adminer:        Database management in a single PHP file
asyncpg:        A fast PostgreSQL Database Client Library for Python/asyncio.
citus:        Distributed PostgreSQL for multi-tenant and real-time analytics workloads
react-firebase-starter:        Boilerplate (seed) project for creating web apps with React.js, GraphQL.js and Relay
bolt:        Bolt is a simple CMS written in PHP. It is based on Silex and Symfony components, uses Twig and either SQLite, MySQL or PostgreSQL.
pg:        Golang ORM with focus on PostgreSQL features and performance
jOOQ:        jOOQ is the best way to write SQL in Java
franchise:        🍟 a notebook sql client. what you get when have a lot of sequels.
patroni:        A template for PostgreSQL High Availability with Etcd, Consul, ZooKeeper, or Kubernetes
sysbench:        Scriptable database and system performance benchmark
sqlboiler:        Generate a Go ORM tailored to your database schema.
wal-e:        Continuous Archiving for Postgres
node-orm2:        Object Relational Mapping
pgloader:        Migrate to PostgreSQL in a single command!
devilbox:        A modern Docker LAMP stack and MEAN stack for local development
SqlSugar:        Best ORM Fastest ORM Simple Easy Sqlite orm Oracle ORM Mysql Orm postgresql ORm SqlServer oRm
stolon:        PostgreSQL cloud native High Availability and more.
nodejs-api-starter:        💥 A GraphQL API boilerplate (template) made with Node.js, TypeScript, and PostgreSQL
zombodb:        Making Postgres and Elasticsearch work together like it's 2020
pg-promise:        PostgreSQL interface for Node.js
formspree:        Easy HTML form without PHP or JavaScript
